date,productID,category,productName,quantitySold ,discountPrice,originalPrice,totalSaleValue,currentStockLevel,reorderLevel,expirationDate,restockDate ,batchID,pricingPromotion,priceChangeDate,
2024-01-12,1001,Vegetable,Carrot,50,20,25,1000,150,50,2024-12-15,2024-12-10,B1001,-10%,2024-12-01,
2024-12-01,1002,Vegetable,Broccoli,30,45,50,1350,100,40,2024-12-12,2024-12-08,B1002,0%,2024-12-01,
2024-12-02,1003,Vegetable,Tomato,60,18,20,1080,120,60,2024-12-10,2024-12-06,B1003,-5%,2024-12-02,
2024-12-02,1004,Fruit,Apple,45,40,45,1800,200,80,2024-12-15,2024-12-10,B1004,0%,2024-12-02,
2024-12-03,1005,Vegetable,Spinach,70,30,35,2100,250,60,2024-12-14,2024-12-09,B1005,-15%,2024-12-03, 
2024-12-03,1006,Fruit,Banana,80,10,12,960,500,100,2024-12-10,2024-12-05,B1006,0%,2024-12-03,
2024-12-04,1007,Vegetable,Cucumber,65,15,18,1170,150,75,2024-12-12,2024-12-07,B1007,-5%,2024-12-04,
2024-12-04,1008,Fruit,Orange,90,25,30,2250,180,100,2024-12-12,2024-12-09,B1008,0%,2024-12-04,
2024-12-05,1009,Vegetable,Lettuce,50,10,12,500,200,60,2024-12-15,2024-12-11,B1009,0%,2024-12-05,
2024-12-05,1010,Fruit,Pear,40,35,40,1400,100,50,2024-12-10,2024-12-07,B1010,-10%,2024-12-05,
2024-12-06,1011,Vegetable,Potato,100,12,15,1500,300,120,2024-12-20,2024-12-10,B1011,0%,2024-12-06,
2024-12-06,1012,Fruit,Mango,70,55,60,3850,150,75,2024-12-18,2024-12-14,B1012,-5%,2024-12-06,
2024-12-07,1013,Vegetable,Bell Pepper,80,20,22,1760,250,100,2024-12-14,2024-12-09,B1013,0%,2024-12-07,
2024-12-07,1014,Fruit,Pineapple,60,70,75,4500,200,80,2024-12-15,2024-12-10,B1014,-10%,2024-12-07,
2024-12-08,1015,Vegetable,Zucchini,45,18,22,990,150,70,2024-12-15,2024-12-10,B1015,0%,2024-12-08,
2024-12-08,1016,Fruit,Strawberry,100,50,55,5000,250,90,2024-12-14,2024-12-12,B1016,-15%,2024-12-08,
2024-12-09,1017,Vegetable,Eggplant,55,28,30,1540,200,100,2024-12-15,2024-12-10,B1017,-5%,2024-12-09,
2024-12-09,1018,Fruit,Cherry,80,80,85,6400,150,75,2024-12-13,2024-12-08,B1018,0%,2024-12-09,
2024-12-10,1019,Vegetable,Sweet Potato,90,22,25,2070,180,90,2024-12-15,2024-12-12,B1019,-10%,2024-12-10,
2024-12-10,1020,Fruit,Grapes,75,60,65,4500,220,100,2024-12-16,2024-12-11,B1020,0%,2024-12-10,
2024-12-11,1021,Vegetable,Kale,40,35,40,1600,150,70,2024-12-20,2024-12-13,B1021,-10%,2024-12-11,
2024-12-11,1022,Fruit,Watermelon,50,60,65,3250,180,80,2024-12-18,2024-12-12,B1022,0%,2024-12-11,
